antecedent,consequent,support,confidence,lift
bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,0.015792,0.878769,55.646144
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,packet_asymmetry_medium AND proto_arp,0.015792,0.878769,55.646144
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,0.015792,1.0,55.646144
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,0.015792,1.0,55.646144
bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,packet_asymmetry_medium AND proto_arp,0.015792,0.878769,55.646144
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,0.015792,1.0,55.646144
bytes_per_packet_low AND packet_rate_low AND state_int,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp AND service_-,0.015792,0.87849,55.62849
packet_asymmetry_medium AND proto_arp AND service_-,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,1.0,55.62849
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,1.0,55.62849
bytes_per_packet_low AND packet_rate_low AND state_int,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,0.015792,0.87849,55.62849
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND state_int,packet_asymmetry_medium AND proto_arp,0.015792,0.87849,55.62849
packet_asymmetry_medium AND proto_arp AND service_-,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,1.0,55.62849
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND state_int,packet_asymmetry_medium AND proto_arp AND service_-,0.015792,0.87849,55.62849
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp AND service_-,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,1.0,55.62849
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,1.0,55.62849
bytes_per_packet_low AND packet_rate_low AND state_int,packet_asymmetry_medium AND proto_arp AND service_-,0.015792,0.87849,55.62849
bytes_per_packet_low AND packet_rate_low AND state_int,packet_asymmetry_medium AND proto_arp,0.015792,0.87849,55.62849
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,1.0,55.62849
outbound_dominance_ratio_medium AND proto_arp,bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,0.015792,0.985409,54.834225
outbound_dominance_ratio_medium AND proto_arp,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.985409,54.834225
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,outbound_dominance_ratio_medium AND proto_arp,0.015792,0.878769,54.834225
bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,outbound_dominance_ratio_medium AND proto_arp,0.015792,0.878769,54.834225
outbound_dominance_ratio_medium AND proto_arp,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,0.985409,54.816829
bytes_per_packet_low AND packet_rate_low AND state_int,outbound_dominance_ratio_medium AND proto_arp,0.015792,0.87849,54.816829
bytes_per_packet_low AND packet_rate_low AND state_int,outbound_dominance_ratio_medium AND proto_arp AND service_-,0.015792,0.87849,54.816829
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,outbound_dominance_ratio_medium AND proto_arp AND service_-,0.015792,0.87849,54.816829
outbound_dominance_ratio_medium AND proto_arp,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.985409,54.816829
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,outbound_dominance_ratio_medium AND proto_arp,0.015792,0.87849,54.816829
outbound_dominance_ratio_medium AND proto_arp AND service_-,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.985409,54.816829
outbound_dominance_ratio_medium AND proto_arp AND service_-,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,0.985409,54.816829
proto_arp,bytes_per_packet_low AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,53.894429
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,proto_arp,0.015792,0.878769,53.894429
proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,53.894429
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,proto_arp,0.015792,0.878769,53.894429
